Country.Name,Continent,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area..km...,Density..per.km...,Growth.Rate,World.Population.Percentage
Costa Rica,North America,984830158.5,4831447001,5711687787,14949514493,37268614024,54775994479,61801385049,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3861,1.0052,0.06
Cuba,North America,5693005200,19912889861,28645436569,30565400000,6.43E+10,8.71E+10,NA,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,102.0366,0.9961,0.14
Curacao,North America,NA,NA,NA,NA,NA,3151910782,3101787709,191163,189288,169572,159380,141424,155446,156851,150385,444,430.5473,1.0043,0
Cayman Islands,North America,NA,NA,NA,NA,4156990816,4708336756,NA,68706,67311,60911,54074,39658,26027,17100,10533,264,260.25,1.0084,0
Cyprus,Europe,NA,2154311277,5591130218,9985844486,25732432719,19842404305,24948935408,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,135.2814,1.0059,0.02
Czech Republic,Europe,NA,NA,40728950705,61828166496,2.09E+11,1.88E+11,2.51E+11,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0627,0.9984,0.13
Germany,Europe,2.16E+11,9.50E+11,1.77E+12,1.94E+12,3.40E+12,3.36E+12,3.86E+12,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05
Djibouti,Africa,NA,NA,452328087.3,551230861.9,1128611700,2430287967,3324634256,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,48.3125,1.0138,0.01
Dominica,North America,NA,72804653.33,201428730,333468888.9,493825925.9,540737037,582403703.7,72737,71995,70007,68755,68346,69481,72978,68895,751,96.8535,1.0045,0
Denmark,Europe,17075457600,71127528700,1.38E+11,1.64E+11,3.22E+11,3.03E+11,3.50E+11,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,136.4984,1.0048,0.07
Dominican Republic,North America,1485500000,6761300000,7073675545,24305116729,53860175557,71164825258,88941299734,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,230.7087,1.01,0.14
Algeria,Africa,4863487493,42345277342,62045099643,54790233856,1.61E+11,1.66E+11,1.71E+11,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56
Ecuador,South America,2862504170,17881514683,15239278100,18327764882,69555367000,99290381000,1.07E+11,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23
"Egypt, Arab Rep.",Africa,8042200452,21669908177,42978914311,99838543960,2.19E+11,3.29E+11,3.03E+11,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,110.7188,1.0158,1.39
Eritrea,Africa,NA,NA,NA,706370815.6,1589515447,NA,NA,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31.3268,1.0176,0.05
Spain,Europe,40992995008,2.33E+11,5.37E+11,5.97E+11,1.42E+12,1.20E+12,1.39E+12,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,93.9909,1.0015,0.6
Estonia,Europe,NA,NA,NA,5694069842,19693608289,23048864243,31471100656,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,29.3201,0.998,0.02
Ethiopia,Africa,NA,NA,12175166763,8242392104,29933790334,64589334979,95912590628,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,111.7268,1.0257,1.55
Finland,Europe,11357516988,53645202423,1.41E+11,1.26E+11,2.49E+11,2.34E+11,2.69E+11,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07
Fiji,Oceania,219878482.2,1202567359,1337024782,1684109743,3140508836,4682546881,5496250694,929766,920422,917200,905169,832509,780430,644582,527634,18272,50.8847,1.0056,0.01
France,Europe,1.48E+11,7.01E+11,1.27E+12,1.36E+12,2.64E+12,2.44E+12,2.72E+12,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81
Faroe Islands,Europe,NA,NA,NA,1058702725,2320424601,2518096286,NA,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.112,1.0038,0
"Micronesia, Fed. Sts.",Oceania,NA,NA,147200000,233271800,296944100,316489900,NA,114164,112106,109462,107588,111709,98603,76299,58989,702,162.6268,1.0091,0
Gabon,Africa,323802475.5,4279637934,5952293766,5067865321,14372591916,14383107714,16874450215,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03
United Kingdom,Europe,1.31E+11,5.65E+11,1.09E+12,1.66E+12,2.48E+12,2.93E+12,2.83E+12,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,277.9289,1.0034,0.85
Georgia,Asia,NA,NA,7753501868,3057475289,12243505583,14953950557,17477255546,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,53.7214,0.9964,0.05
Ghana,Africa,2215029450,4445228216,5889174825,4983024408,32197272797,48564863888,66983634224,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42
Gibraltar,Europe,NA,NA,NA,NA,NA,NA,NA,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0
Guinea,Africa,NA,NA,2666616177,2995360969,6853467858,8794202444,12296665331,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17
"Gambia, The",Africa,52296836.75,241080708.9,317083373.5,782915402.4,1543292393,1378176868,1826073740,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,253.1567,1.025,0.03
Guinea-Bissau,Africa,78733594.84,110653830.7,243961995.5,370173838.7,849878424.2,1048229629,1339449165,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.2856,1.0218,0.03
Equatorial Guinea,Africa,66331428.57,50642880.77,112119406.5,1045998496,16314442183,13185496836,11026774945,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.7094,1.0247,0.02
Greece,Europe,13139863636,56829664269,97891092003,1.30E+11,2.99E+11,1.97E+11,2.10E+11,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13
Grenada,North America,NA,110900457,278098763,520044370.4,771013259.3,997007925.9,1210603704,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453,1.0066,0
Greenland,North America,69520026.67,476055288.4,1018970365,1068030830,2503156061,2499115623,NA,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0.0261,1.004,0
Guatemala,North America,1.90E+09,7878700000,7650125217,19288827159,41338008613,62186186576,76710355347,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,163.8725,1.0134,0.22
Guam,Oceania,NA,NA,NA,NA,4.90E+09,5.71E+09,NA,171774,169231,167978,164905,160188,138263,110286,88300,549,312.8852,1.0073,0
Guyana,South America,267800000,603200000,396582263.3,712667896.7,3432913353,4279840362,5173759528,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01
"Hong Kong SAR, China",Asia,3800766536,28861759209,76928290842,1.72E+11,2.29E+11,3.09E+11,3.66E+11,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09
Honduras,North America,7.23E+08,3968160046,4923009552,7103507989,15839344592,20979767785,25095395475,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,92.7431,1.015,0.13
Croatia,Europe,NA,NA,NA,21633671681,59918313669,49525747504,60752588976,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,71.2153,0.9927,0.05
Haiti,North America,331200000,1383800000,3096289800,6868666120,11661585823,14857386164,14332163266,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,417.4773,1.012,0.15
Hungary,Europe,NA,NA,NA,47218405892,1.32E+11,1.25E+11,1.63E+11,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,107.1431,1.0265,0.12
Indonesia,Asia,9150684932,72482337370,1.06E+11,1.65E+11,7.55E+11,8.61E+11,1.12E+12,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,144.6529,1.0064,3.45
Isle of Man,Europe,NA,NA,NA,1563667800,5920177689,7085288006,NA,84519,84046,83593,83828,75562,68865,64022,55298,572,147.7605,1.003,0
India,Asia,62422483055,1.86E+11,3.21E+11,4.68E+11,1.68E+12,2.10E+12,2.87E+12,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,431.0675,1.0068,17.77
Ireland,Europe,4401258741,21773901926,49364680214,99852958356,2.22E+11,2.92E+11,3.89E+11,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.4799,1.0073,0.06
"Iran, Islamic Rep.",Asia,10976245154,94362275580,1.25E+11,1.10E+11,4.87E+11,3.85E+11,NA,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,53.7258,1.0071,1.11
Iraq,Asia,3281713806,53405689130,1.80E+11,NA,1.38E+11,1.77E+11,2.34E+11,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,101.5158,1.0221,0.56
Iceland,Europe,527496590.9,3386502001,6478459744,9003639603,13683689693,17389101639,24188038474,372899,366669,331060,318333,281462,255019,228263,204468,103000,3.6204,1.0069,0
Israel,Asia,7073333333,24248823529,59217144629,1.32E+11,2.34E+11,3.00E+11,3.95E+11,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,435.1617,1.0155,0.11
Italy,Europe,1.13E+11,4.77E+11,1.18E+12,1.14E+12,2.13E+12,1.84E+12,2.00E+12,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,195.9191,0.9966,0.74
Jamaica,North America,1404776071,2679409453,4592224067,8985352832,13220556883,14187696311,16458071068,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,257.2447,0.9999,0.04
Jordan,Asia,639596751.6,3910036925,4160003917,8460424401,27133804244,38587017944,44502895862,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,126.3221,1.0123,0.14
Japan,Asia,2.13E+11,1.11E+12,3.13E+12,4.89E+12,5.70E+12,4.39E+12,5.08E+12,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,327.9753,0.9947,1.55
Kazakhstan,Asia,NA,NA,26932728899,18291990619,1.48E+11,1.84E+11,1.82E+11,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7.1188,1.0105,0.24
Kenya,Africa,1603447357,7265315332,8572359163,12705357103,40000088347,64007750169,95503088538,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,93.0919,1.0193,0.68
Kyrgyz Republic,Asia,NA,NA,2.68E+09,1369688498,4794357795,6678178340,8454619608,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612,1.0158,0.08
Cambodia,Asia,718401157.7,NA,NA,3677897739,11242275199,18049954289,27089389787,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,92.6221,1.0108,0.21
Kiribati,Oceania,14295279.54,38715554.54,39809538.68,67254174.4,156120895.2,171117872.4,194647201.9,131232,126463,116707,107995,88826,75124,60813,57437,811,161.815,1.0183,0
St. Kitts and Nevis,North America,16300000,68459259.26,217259259.3,421473325.2,760170370.4,923155555.6,1053244444,47657,47642,47790,47403,45461,40636,43097,44968,261,182.5939,1.0011,0
"Korea, Rep.",Asia,9005023184,65398646758,2.83E+11,5.76E+11,1.14E+12,1.47E+12,1.65E+12,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,517.0722,0.9997,0.65
Kuwait,Asia,2873984878,28638550499,18427777778,37712842243,1.15E+11,1.15E+11,1.35E+11,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5821,1.0044,0.05
Lao PDR,Asia,NA,NA,865559856.2,1731198022,7127792630,14390442307,18173839147,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,31.7968,1.0141,0.09
Lebanon,Asia,NA,NA,2838485354,17260364842,38443907042,49939374833,51991634492,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2334,0.9816,0.07
