Country.Name,Continent,X1960,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area_KM,Density_Per_KM,Growth.Rate,World.Population.Percentage,X1961_R,X1970_R,X1980_R,X1990_R,X2000_R,X2010_R,X2015_R,X2020_R
Ghana,Africa,1217230038,2215029450,4445228216,5889174825,4983024408,32197272797,48564863888,66983634224,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,140.3406,1.0196,0.42,3.429674012,9.723472587,0.471695943,3.328817883,3.70000004,7.899711889,2.12075931,0.414443468
Gibraltar,Europe,NA,NA,NA,NA,NA,NA,NA,NA,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Africa,NA,NA,NA,2666616177,2995360969,6853467858,8794202444,12296665331,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,56.3716,1.0242,0.17,NA,NA,NA,4.324062754,2.503060562,4.813362867,3.825921667,6.988559971
"Gambia, The",Africa,NA,52296836.75,241080708.9,317083373.5,782915402.4,1543292393,1378176868,1826073740,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,253.1567,1.025,0.03,NA,6.153846574,6.270079608,3.558879369,5.500000216,5.90833581,4.058073804,0
Guinea-Bissau,Africa,NA,78733594.84,110653830.7,243961995.5,370173838.7,849878424.2,1048229629,1339449165,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,58.2856,1.0218,0.03,NA,NA,-15.9526515,6.099999986,5.426987367,4.6109709,6.134082941,-2.399999999
Equatorial Guinea,Africa,NA,66331428.57,50642880.77,112119406.5,1045998496,16314442183,13185496836,11026774945,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.7094,1.0247,0.02,NA,NA,NA,-1.758564084,18.21377996,-8.924175889,-9.110041149,-4.893356474
Greece,Europe,4335186017,13139863636,56829664269,97891092003,1.30134E+11,2.99362E+11,1.96591E+11,2.09853E+11,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,78.68,0.9942,0.13,13.20384119,8.648471425,0.677130794,0,3.919770794,-5.479036989,-0.411901538,-8.247736115
Grenada,North America,NA,NA,110900457,278098763,520044370.4,771013259.3,997007925.9,1210603704,125438,123663,118980,114039,107432,99047,94838,98794,344,364.6453,1.0066,0,NA,NA,-0.534784049,4.012611902,4.887952137,-0.511262754,6.443143733,-11.23075823
Greenland,North America,NA,69520026.67,476055288.4,1018970365,1068030830,2503156061,2499115623,NA,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0.0261,1.004,0,NA,NA,8.676006268,-11.71953298,7.101596882,1.735825059,-2.529318024,NA
Guatemala,North America,1043599900,1.90E+09,7878700000,7650125217,19288827159,41338008613,62186186576,76710355347,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,163.8725,1.0134,0.22,4.298518348,5.707883599,3.759978164,3.10256318,3.608868735,2.884175428,4.092170816,-1.519328029
Guam,Oceania,NA,NA,NA,NA,NA,4.90E+09,5.71E+09,NA,171774,169231,167978,164905,160188,138263,110286,88300,549,312.8852,1.0073,0,NA,NA,NA,NA,NA,2.263251936,0.825688073,NA
Guyana,South America,170215248.2,267800000,603200000,396582263.3,712667896.7,3432913353,4279840362,5173759528,808726,797202,755031,747932,759051,747116,778176,705261,214969,3.7621,1.0052,0.01,4.689524309,4.255456893,1.733889727,-3.067484663,-1.363803903,3.779631771,0.687398061,43.47951463
"Hong Kong SAR, China",Asia,1320796652,3800766536,28861759209,76928290842,1.71668E+11,2.28638E+11,3.09384E+11,3.65712E+11,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,6783.3922,0.9992,0.09,NA,9.206769307,10.10811433,3.830529937,7.663462103,6.767668588,2.387802316,-6.081467784
Honduras,North America,335650000,7.23E+08,3968160046,4923009552,7103507989,15839344592,20979767785,25095395475,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,92.7431,1.015,0.13,1.855659321,3.62672094,0.599354052,2.791748949,7.291288159,3.731140344,3.840079971,-8.964760184
Croatia,Europe,NA,NA,NA,NA,21633671681,59918313669,49525747504,60752588976,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,71.2153,0.9927,0.05,NA,NA,NA,NA,2.861746843,-1.31656298,2.431888573,-8.367378217
